            Variable                     Coef                 Gradient                     s.e.
 BD_CDiag12            2.5776188319199583E-01  -1.2623015989437800E-01   6.0548879538497276E-03
 BD_CDiag13            7.8758603415588158E-01  -3.5829299439671489E-02   1.8965053530090693E-02
 BD_CDiag14            8.1436994385342654E-01   1.8863969776576894E-02   2.2735143827583317E-02
 BD_CDiag15            4.5195972123925987E-01  -3.6394968455238930E-02   7.5089014477507177E-03
 BD_CDiag16            4.8487033294056306E-02  -7.3928616778645212E-03   4.2144713834374702E-03
 BD_CDiag17            1.5841034886215682E-01  -1.6948460276681957E-02   2.9417145323229407E-03
 BD_CDiag18            1.1203976797471514E-01  -3.3408360496438569E-02   4.2403081314710926E-03
 BD_CDiag19            4.7845892784576510E-01  -5.9462306961049639E-03   9.2248132515307148E-03
 BD_CDiag20            7.0223638915026942E-01  -1.6846900953669659E-02   8.5126797751971919E-02
 BD_CDiag21            2.0083241265617388E-01   8.5107046104210323E-03   6.0772396147230553E-03
 BD_CDiag22            1.3797526792325140E-01  -8.8609288858317439E-02   3.2117951071212732E-03
 BD_CDiag23            4.8953793670956036E-01  -2.8235446124641812E-02   8.1350070628323726E-03
 BD_CDiag24            3.4543694200300257E-01   6.8965668419931096E-03   5.0162981955478875E-03
 BD_CDiag25            5.7799159583641668E-01  -1.2807562997668709E-01   1.8677121031017093E-02
 BD_CDiag26            9.5285230338186855E-01   2.2368692501483857E-05   2.8290926236781956E-02
 BD_CDiag27            6.4813482566287406E-01   3.2677634649403500E-02   2.9146492464867974E-02
BD_COffDi01            2.7940928293190295E+00   1.2203861458076133E+00   2.0526545846300663E-03
BD_COffDi02            2.8167885153443266E+00   4.9828058923706243E-03   1.9403500870639082E-02
BD_COffDi03            2.1458672936315151E+00   1.2564208324898246E-01   1.3796520233882168E-03
BD_COffDi04            9.4727423044514247E-01   1.3362091690477272E-02   3.6393215107085472E-02
BD_COffDi05            2.8274333882308138E+00  -2.0167136670104502E-02   9.0894202447100621E-03
BD_COffDi06            2.7995449103886192E+00  -5.6020684230653039E-02   6.5313563869109255E-03
BD_COffDi07            2.4044303477120215E+00  -1.3174835429994547E-01   5.0455807093832544E-03
